question,cypher,type,database,explanation,syntax_error,timeout,returns_results,no_cypher
Name the top 3 articles that discuss organizations with a history of more than 50 years.,"MATCH (o:Organization)-[:MENTIONS]-(a:Article)
WHERE o.summary CONTAINS ""founded"" AND o.summary =~ "".*\\b(19[0-7][0-9]|19[0-6][0-9]|19[0-5][0-9]|18[0-9][0-9]|17[0-9][0-9]|16[0-9][0-9]|15[0-9][0-9]|14[0-9][0-9]|13[0-9][0-9]|12[0-9][0-9]|11[0-9][0-9]|10[0-9][0-9]|9[0-9][0-9]|8[0-9][0-9]|7[0-9][0-9]|6[0-9][0-9]|5[0-9][0-9]|4[0-9][0-9]|3[0-9][0-9]|2[0-9][0-9]|1[0-9][0-9])\\b.*""
RETURN a.title, a.date, a.sentiment
ORDER BY a.date DESC
LIMIT 3",Pathfinding Queries,companies,"This Cypher query retrieves the top 3 articles that discuss organizations with a history of more than 50 years. The query works as follows:

1. **MATCH (o:Organization)-[:MENTIONS]-(a:Article)**: This part of the query matches organizations and articles that mention these organizations.
2. **WHERE o.summary CONTAINS ""founded"" AND o.summary =~ "".*\\b(19[0-7][0-9]|19[0-6][0-9]|19[0-5][0-9]|18[0-9][0-9]|17[0-9][0-9]|16[0-9][0-9]|15[0-9][0-9]|14[0-9][0-9]|13[0-9][0-9]|12[0-9][0-9]|11[0-9][0-9]|10[0-9][0-9]|9[0-9][0-9]|8[0-9][0-9]|7[0-9][0-9]|6[0-9][0-9]|5[0-9][0-9]|4[0-9][0-9]|3[0-9][0-9]|2[0-9][0-9]|1[0-9][0-9])\\b.*""**: This filters organizations that have a summary containing the word ""founded"" and a year that indicates they are more than 50 years old.
3. **RETURN a.title, a.date, a.sentiment**: This returns the title, date, and sentiment of the articles.
4. **ORDER BY a.date DESC**: This orders the articles by date in descending order to get the most recent articles.
5. **LIMIT 3**: This limits the result to the top 3 articles.

The regular expression in the WHERE clause is used to match years from 1970 and earlier, ensuring that the organizations are at least 50 years old.",False,False,True,False
What are the names of the organizations where the CEOs have the same last name?,"MATCH (ceo1:Person)-[:HAS_CEO]-(org1:Organization),
      (ceo2:Person)-[:HAS_CEO]-(org2:Organization)
WHERE ceo1.name <> ceo2.name AND split(ceo1.name, "" "")[-1] = split(ceo2.name, "" "")[-1]
RETURN DISTINCT org1.name AS Organization1, org2.name AS Organization2",Pathfinding Queries,companies,"This Cypher query retrieves the names of organizations where the CEOs share the same last name. Here's how it works:
1. The `MATCH` clause finds pairs of `Person` nodes (representing CEOs) and their associated `Organization` nodes.
2. The `WHERE` clause ensures that the CEOs are different individuals (`ceo1.name <> ceo2.name`) and checks if their last names (the part after the last space in their `name` property) are the same (`split(ceo1.name, "" "")[-1] = split(ceo2.name, "" "")[-1]`).
3. The `RETURN` clause outputs the names of the organizations (`org1.name` and `org2.name`) where the CEOs have the same last name.
4. `DISTINCT` is used to ensure that each pair of organizations is listed only once.",False,False,True,False
Which 3 countries have organizations that are major players in the electronics industry?,"MATCH (org:Organization)-[:HAS_CATEGORY]->(cat:IndustryCategory {name: ""Electronic Products Manufacturers""})
MATCH (org)-[:IN_CITY]->(city:City)-[:IN_COUNTRY]->(country:Country)
RETURN country.name AS country, COUNT(org) AS orgCount
ORDER BY orgCount DESC
LIMIT 3",Pathfinding Queries,companies,"This Cypher query retrieves the top 3 countries that have the most organizations categorized under ""Electronic Products Manufacturers"". Here's a step-by-step breakdown of the query:

1. `MATCH (org:Organization)-[:HAS_CATEGORY]->(cat:IndustryCategory {name: ""Electronic Products Manufacturers""})`: This part of the query finds all organizations that are in the ""Electronic Products Manufacturers"" industry category.

2. `MATCH (org)-[:IN_CITY]->(city:City)-[:IN_COUNTRY]->(country:Country)`: This part of the query traverses from the organization to the city it is located in, and then to the country that city is in.

3. `RETURN country.name AS country, COUNT(org) AS orgCount`: This part of the query returns the name of the country and the count of organizations in that country.

4. `ORDER BY orgCount DESC`: This part of the query orders the results by the count of organizations in descending order.

5. `LIMIT 3`: This part of the query limits the results to the top 3 countries.

The result will be the names of the top 3 countries with the most organizations in the electronics industry.",False,False,True,False
What are the names of the first 3 industry categories that have organizations with revenues over $100 million?,"MATCH (o:Organization)-[:HAS_CATEGORY]->(ic:IndustryCategory)
WHERE o.revenue > 100000000
RETURN DISTINCT ic.name
LIMIT 3",Pathfinding Queries,companies,"This Cypher query retrieves the names of the first 3 distinct industry categories that have organizations with revenues over $100 million. Here's a step-by-step breakdown of the query:

1. `MATCH (o:Organization)-[:HAS_CATEGORY]->(ic:IndustryCategory)`: This part of the query matches organizations and their associated industry categories.
2. `WHERE o.revenue > 100000000`: This filters the organizations to include only those with revenues greater than $100 million.
3. `RETURN DISTINCT ic.name`: This returns the distinct names of the industry categories.
4. `LIMIT 3`: This limits the result to the first 3 industry categories.

By following these steps, the query ensures that only the relevant industry categories are retrieved based on the specified revenue condition.",False,False,True,False
Name the first 3 organizations that are headquartered in cities with more than 5 million inhabitants.,"MATCH (o:Organization)-[:IN_CITY]->(c:City)
WHERE c.nbrInhabitants > 5000000
RETURN o.name
LIMIT 3",Pathfinding Queries,companies,"This Cypher query retrieves the names of the first three organizations that are headquartered in cities with more than 5 million inhabitants. The query starts by matching organizations (`o:Organization`) that have a relationship `[:IN_CITY]` with cities (`c:City`). It then filters these cities to include only those with more than 5 million inhabitants (`c.nbrInhabitants > 5000000`). Finally, it returns the names of these organizations (`o.name`) and limits the result to the first three.",False,False,False,False
Which 3 cities are the most frequently mentioned settings in articles about finance?,"MATCH (a:Article)-[:HAS_CHUNK]->(c:Chunk), (o:Organization)-[:IN_CITY]->(city:City)
WHERE c.text CONTAINS ""finance"" OR a.title CONTAINS ""finance"" OR a.summary CONTAINS ""finance""
RETURN city.name AS city, COUNT(a) AS articleCount
ORDER BY articleCount DESC
LIMIT 3",Pathfinding Queries,companies,"This query works as follows:
1. It matches articles (`a:Article`) that have chunks (`c:Chunk`) of text.
2. It matches organizations (`o:Organization`) that are located in cities (`city:City`).
3. It filters the articles to those that contain the word ""finance"" in their text, title, or summary.
4. It returns the city names and the count of articles mentioning finance.
5. It orders the results by the count of articles in descending order.
6. It limits the results to the top 3 cities.

This query assumes that the term ""finance"" is used in the text, title, or summary of the articles to identify articles about finance.",False,True,False,False
What are the names of organizations that have both a supplier and a subsidiary in Europe?,"MATCH (org:Organization)-[:HAS_SUPPLIER]->(supplier:Organization),
      (org)-[:HAS_SUBSIDIARY]->(subsidiary:Organization),
      (supplier)-[:IN_CITY]->(supplierCity:City)-[:IN_COUNTRY]->(supplierCountry:Country {name: ""Europe""}),
      (subsidiary)-[:IN_CITY]->(subsidiaryCity:City)-[:IN_COUNTRY]->(subsidiaryCountry:Country {name: ""Europe""})
RETURN DISTINCT org.name",Pathfinding Queries,companies,"This Cypher query retrieves the names of organizations that have both a supplier and a subsidiary located in Europe. The query works as follows:

1. It matches organizations (`org`) that have a supplier (`supplier`) and a subsidiary (`subsidiary`).
2. It ensures that both the supplier and the subsidiary are located in cities (`supplierCity` and `subsidiaryCity`, respectively) that are in countries (`supplierCountry` and `subsidiaryCountry`) named ""Europe"".
3. Finally, it returns the distinct names of these organizations.

Note: The schema does not explicitly define a direct relationship between `City` and `Country` for Europe. If Europe is represented as a continent rather than a country, the schema would need to be adjusted accordingly.",False,False,False,False
List the first 3 organizations that have a CEO and a board member with the same name.,"MATCH (org:Organization)-[:HAS_CEO]->(ceo:Person)
MATCH (org)-[:HAS_BOARD_MEMBER]->(boardMember:Person)
WHERE ceo.name = boardMember.name
RETURN org.name AS organizationName, ceo.name AS personName
LIMIT 3",Pathfinding Queries,companies,"This Cypher query retrieves the first 3 organizations that have a CEO and a board member with the same name. Here's how it works:
1. The first `MATCH` clause finds organizations (`org`) that have a CEO (`ceo`).
2. The second `MATCH` clause finds organizations (`org`) that have a board member (`boardMember`).
3. The `WHERE` clause filters the results to only include cases where the CEO's name is the same as the board member's name.
4. The `RETURN` clause specifies that the query should return the organization's name and the person's name.
5. The `LIMIT 3` clause restricts the results to the first 3 matching organizations.",False,False,True,False
Which 3 organizations have the most suppliers?,"MATCH (o:Organization)-[:HAS_SUPPLIER]->(s:Organization)
WITH o, COUNT(s) AS supplierCount
ORDER BY supplierCount DESC
LIMIT 3
RETURN o.name AS organizationName, supplierCount",Pathfinding Queries,companies,"This Cypher query retrieves the top 3 organizations with the most suppliers. Here's how it works:
1. `MATCH (o:Organization)-[:HAS_SUPPLIER]->(s:Organization)`: This pattern matches organizations (`o`) that have suppliers (`s`).
2. `WITH o, COUNT(s) AS supplierCount`: This clause groups the results by organization and counts the number of suppliers for each organization, storing the count in `supplierCount`.
3. `ORDER BY supplierCount DESC`: This orders the organizations by the number of suppliers in descending order.
4. `LIMIT 3`: This limits the results to the top 3 organizations.
5. `RETURN o.name AS organizationName, supplierCount`: This returns the names of the top 3 organizations and their respective supplier counts.",False,False,True,False
Name the top 3 organizations by number of articles mentioning them in 2021.,"MATCH (o:Organization)<-[:MENTIONS]-(a:Article)
WHERE a.date >= date(""2021-01-01"") AND a.date < date(""2022-01-01"")
WITH o, count(a) AS articleCount
ORDER BY articleCount DESC
LIMIT 3
RETURN o.name AS organizationName, articleCount",Pathfinding Queries,companies,"This Cypher query retrieves the top 3 organizations by the number of articles mentioning them in the year 2021. Here's a step-by-step breakdown of the query:

1. `MATCH (o:Organization)<-[:MENTIONS]-(a:Article)`: This pattern matches organizations that are mentioned in articles.
2. `WHERE a.date >= date(""2021-01-01"") AND a.date < date(""2022-01-01"")`: This filter ensures that only articles from the year 2021 are considered.
3. `WITH o, count(a) AS articleCount`: This clause groups the results by organization and counts the number of articles mentioning each organization.
4. `ORDER BY articleCount DESC`: This sorts the organizations by the number of articles in descending order.
5. `LIMIT 3`: This limits the results to the top 3 organizations.
6. `RETURN o.name AS organizationName, articleCount`: This returns the names of the top 3 organizations and the count of articles mentioning them.

The query effectively identifies and ranks organizations based on their media presence in 2021.",False,False,False,False
Who are the first 3 children of people who are CEOs of public organizations?,"MATCH (ceo:Person)<-[:HAS_CEO]-(org:Organization)
WHERE org.isPublic = true
WITH ceo
MATCH (ceo)-[:HAS_CHILD]->(child:Person)
RETURN child.name AS ChildName, ceo.name AS CEOName
LIMIT 3",Pathfinding Queries,companies,"1. The query starts by matching `Person` nodes that are CEOs of `Organization` nodes where the organization is public (`org.isPublic = true`).
2. It then collects these CEOs and matches their children using the `HAS_CHILD` relationship.
3. Finally, it returns the names of the first 3 children along with the names of their CEO parents.",False,False,True,False
List the top 5 organizations that have a subsidiary in the same city where they are headquartered.,"MATCH (org:Organization)-[:HAS_SUBSIDIARY]->(sub:Organization),
      (org)-[:IN_CITY]->(city:City),
      (sub)-[:IN_CITY]->(city)
RETURN org.name AS Organization, city.name AS City
LIMIT 5",Pathfinding Queries,companies,"This Cypher query retrieves the top 5 organizations that have a subsidiary in the same city where they are headquartered. Here's how it works:
1. The `MATCH` clause finds organizations (`org`) that have a subsidiary (`sub`) through the `[:HAS_SUBSIDIARY]` relationship.
2. It then ensures that both the organization and its subsidiary are located in the same city by matching both `org` and `sub` to the same `City` node through the `[:IN_CITY]` relationship.
3. The `RETURN` clause specifies that the query should return the names of the organizations and the cities they are located in.
4. The `LIMIT 5` clause restricts the results to the top 5 organizations.",False,False,True,False
Which 3 countries are mentioned the most in articles regarding technology advancements?,"MATCH (a:Article)-[:MENTIONS]->(o:Organization)-[:HAS_CATEGORY]->(ic:IndustryCategory {name: ""Technology""})
MATCH (o)-[:IN_CITY]->(c:City)-[:IN_COUNTRY]->(co:Country)
RETURN co.name AS country, COUNT(a) AS articleCount
ORDER BY articleCount DESC
LIMIT 3",Pathfinding Queries,companies,"1. The query starts by matching articles (`a:Article`) that mention organizations (`o:Organization`) in the technology industry. This is done by traversing the `[:MENTIONS]` relationship from `Article` to `Organization` and then the `[:HAS_CATEGORY]` relationship to `IndustryCategory` with the name ""Technology"".
2. It then matches the city (`c:City`) where the organization is located using the `[:IN_CITY]` relationship.
3. From the city, it matches the country (`co:Country`) using the `[:IN_COUNTRY]` relationship.
4. The query returns the country name and the count of articles mentioning organizations in the technology industry for each country.
5. The results are ordered by the count of articles in descending order, and the top 3 countries are returned.",False,False,False,False
What are the names of 3 organizations that have been dissolved but are still mentioned in recent articles?,"MATCH (o:Organization)-[:MENTIONS]-(a:Article)
WHERE o.isDissolved = true
WITH o, a
ORDER BY a.date DESC
LIMIT 3
RETURN o.name",Pathfinding Queries,companies,"This Cypher query retrieves the names of three organizations that have been dissolved but are still mentioned in recent articles. Here's a step-by-step breakdown of the query:

1. `MATCH (o:Organization)-[:MENTIONS]-(a:Article)`: This part of the query matches organizations that are mentioned in articles.
2. `WHERE o.isDissolved = true`: This filters the organizations to only include those that have been dissolved.
3. `WITH o, a`: This clause allows us to carry forward the matched organizations and articles to the next part of the query.
4. `ORDER BY a.date DESC`: This orders the articles by their date in descending order, so the most recent articles come first.
5. `LIMIT 3`: This limits the results to three organizations.
6. `RETURN o.name`: This returns the names of the organizations.

By following these steps, the query ensures that it retrieves the names of three dissolved organizations that are still mentioned in the most recent articles.",False,False,True,False
Name the first 3 organizations that have been mentioned in articles related to environmental issues.,"MATCH (a:Article)-[:MENTIONS]->(o:Organization)
WHERE a.summary CONTAINS ""environmental"" OR a.title CONTAINS ""environmental""
RETURN DISTINCT o.name
LIMIT 3",Pathfinding Queries,companies,"This Cypher query retrieves the names of the first three distinct organizations that have been mentioned in articles related to environmental issues. The query works as follows:
1. It matches articles (`a:Article`) that mention organizations (`o:Organization`) through the `[:MENTIONS]` relationship.
2. It filters these articles to include only those whose summary or title contains the word ""environmental"".
3. It returns the distinct names of the organizations mentioned in these articles.
4. It limits the result to the first three organizations.",False,False,True,False
List the names of 3 organizations that have changed their CEOs more than twice according to the database.,"MATCH (o:Organization)-[:HAS_CEO]->(p:Person)
WITH o, COUNT(p) AS ceo_count
WHERE ceo_count > 2
RETURN o.name
LIMIT 3",Pathfinding Queries,companies,"This Cypher query retrieves the names of up to 3 organizations that have had more than two different CEOs. Here's a step-by-step breakdown of the query:

1. `MATCH (o:Organization)-[:HAS_CEO]->(p:Person)`: This part of the query matches organizations (`o`) and their associated CEOs (`p`) through the `HAS_CEO` relationship.
2. `WITH o, COUNT(p) AS ceo_count`: This clause groups the results by organization and counts the number of CEOs each organization has had, storing this count in `ceo_count`.
3. `WHERE ceo_count > 2`: This filters the results to include only those organizations that have had more than two CEOs.
4. `RETURN o.name`: This returns the names of the organizations that meet the criteria.
5. `LIMIT 3`: This limits the results to 3 organizations.

This query effectively identifies organizations with a high turnover of CEOs and returns their names.",False,False,False,False
Who are the CEOs of organizations that have been dissolved?,"MATCH (o:Organization)-[:HAS_CEO]->(p:Person)
WHERE o.isDissolved = true
RETURN p.name AS CEO, o.name AS Organization",Simple Aggregation Queries,companies,"This Cypher query retrieves the names of CEOs of organizations that have been dissolved. Here's how it works:
1. `MATCH (o:Organization)-[:HAS_CEO]->(p:Person)`: This part of the query matches organizations (`o`) that have a relationship `HAS_CEO` with a person (`p`).
2. `WHERE o.isDissolved = true`: This filters the organizations to only include those that have been dissolved (`isDissolved` property is true).
3. `RETURN p.name AS CEO, o.name AS Organization`: This returns the names of the CEOs and the names of their respective organizations.",False,False,True,False
What are the first 5 organizations that are mentioned in articles from 'RCR Wireless News'?,"MATCH (a:Article {siteName: ""RCR Wireless News""})-[:MENTIONS]->(o:Organization)
RETURN o.name
LIMIT 5",Simple Aggregation Queries,companies,"This Cypher query retrieves the names of the first 5 organizations that are mentioned in articles from the site ""RCR Wireless News"". 

1. The `MATCH` clause finds articles (`a`) with the `siteName` property set to ""RCR Wireless News"" and traverses the `[:MENTIONS]` relationship to find the connected organizations (`o`).
2. The `RETURN` clause specifies that we want to return the `name` property of these organizations.
3. The `LIMIT 5` clause ensures that only the first 5 results are returned.",False,False,True,False
Which cities have the most organizations that are dissolved?,"MATCH (o:Organization)-[:IN_CITY]->(c:City)
WHERE o.isDissolved = true
RETURN c.name AS city, COUNT(o) AS dissolved_organizations
ORDER BY dissolved_organizations DESC
LIMIT 1",Simple Aggregation Queries,companies,"This Cypher query retrieves the city with the most dissolved organizations. Here's how it works:
1. `MATCH (o:Organization)-[:IN_CITY]->(c:City)`: This part of the query matches organizations and their associated cities.
2. `WHERE o.isDissolved = true`: This filters the organizations to include only those that are dissolved.
3. `RETURN c.name AS city, COUNT(o) AS dissolved_organizations`: This returns the name of the city and the count of dissolved organizations in that city.
4. `ORDER BY dissolved_organizations DESC`: This orders the results by the count of dissolved organizations in descending order.
5. `LIMIT 1`: This limits the result to the city with the highest count of dissolved organizations.",False,False,True,False
Who are the children of 'Julie Spellman Sweet'?,"MATCH (p:Person {name: ""Julie Spellman Sweet""})-[:HAS_CHILD]->(child:Person)
RETURN child.name AS childName, child.id AS childId, child.summary AS childSummary",Simple Aggregation Queries,companies,"This Cypher query retrieves the children of the person named ""Julie Spellman Sweet"". It starts by matching a `Person` node with the name ""Julie Spellman Sweet"". Then, it traverses the `HAS_CHILD` relationship to find all `Person` nodes that are children of ""Julie Spellman Sweet"". Finally, it returns the names, IDs, and summaries of these child nodes.",False,False,False,False
Which city has the most organizations with public status?,"MATCH (o:Organization)-[:IN_CITY]->(c:City)
WHERE o.isPublic = true
RETURN c.name AS city, COUNT(o) AS publicOrganizations
ORDER BY publicOrganizations DESC
LIMIT 1",Simple Aggregation Queries,companies,"This Cypher query retrieves the city with the most public organizations. Here's how it works:
1. `MATCH (o:Organization)-[:IN_CITY]->(c:City)`: This part of the query matches all organizations and their associated cities.
2. `WHERE o.isPublic = true`: This filters the organizations to include only those that have a public status.
3. `RETURN c.name AS city, COUNT(o) AS publicOrganizations`: This returns the name of the city and the count of public organizations in that city.
4. `ORDER BY publicOrganizations DESC`: This orders the results by the count of public organizations in descending order.
5. `LIMIT 1`: This limits the result to the top city with the most public organizations.",False,False,True,False
What organizations are headquartered in cities that are in the 'United States of America'?,"MATCH (country:Country {name: ""United States of America""})<-[:IN_COUNTRY]-(city:City)<-[:IN_CITY]-(organization:Organization)
RETURN organization.name AS organizationName",Simple Aggregation Queries,companies,"This Cypher query retrieves the names of organizations that are headquartered in cities located in the 'United States of America'. Here's how it works:
1. The query starts by matching the `Country` node with the name ""United States of America"".
2. It then traverses the `IN_COUNTRY` relationship to find all `City` nodes that are in this country.
3. From these cities, it traverses the `IN_CITY` relationship to find all `Organization` nodes headquartered in these cities.
4. Finally, it returns the names of these organizations.",False,False,True,False
What are the first 3 articles about organizations with a public status?,"MATCH (o:Organization {isPublic: true})<-[:MENTIONS]-(a:Article)
RETURN a.title, a.summary, a.date
ORDER BY a.date DESC
LIMIT 3",Simple Aggregation Queries,companies,"This Cypher query retrieves the first 3 articles that mention organizations with a public status. Here's a step-by-step breakdown of how the query works:

1. `MATCH (o:Organization {isPublic: true})<-[:MENTIONS]-(a:Article)`: This part of the query matches all `Organization` nodes that have the property `isPublic` set to `true` and finds `Article` nodes that have a `MENTIONS` relationship with these organizations.

2. `RETURN a.title, a.summary, a.date`: This specifies that the query should return the `title`, `summary`, and `date` properties of the matched `Article` nodes.

3. `ORDER BY a.date DESC`: This orders the returned articles by their `date` property in descending order, so the most recent articles come first.

4. `LIMIT 3`: This limits the result to the first 3 articles.

By following these steps, the query ensures that it retrieves the latest 3 articles about public organizations.",False,False,True,False
Who wrote the article with the highest sentiment score mentioning 'SAP'?,"MATCH (a:Article)-[:MENTIONS]->(o:Organization {name: ""SAP""})
WITH a
ORDER BY a.sentiment DESC
LIMIT 1
RETURN a.author AS author",Simple Aggregation Queries,companies,"1. The query starts by matching articles (`a:Article`) that mention the organization named ""SAP"" (`o:Organization {name: ""SAP""}`) through the `[:MENTIONS]` relationship.
2. It then orders these articles by their sentiment score in descending order using `ORDER BY a.sentiment DESC`.
3. The `LIMIT 1` clause ensures that only the article with the highest sentiment score is considered.
4. Finally, the query returns the author of this article (`a.author AS author`).",False,False,True,False
What are the industry categories of organizations located in 'Seattle'?,"MATCH (c:City {name: ""Seattle""})<-[:IN_CITY]-(o:Organization)-[:HAS_CATEGORY]->(ic:IndustryCategory)
RETURN DISTINCT ic.name AS IndustryCategory",Simple Aggregation Queries,companies,"This Cypher query retrieves the industry categories of organizations located in Seattle. Here's how it works:
1. `MATCH (c:City {name: ""Seattle""})` finds the node representing the city of Seattle.
2. `<-[:IN_CITY]-(o:Organization)` matches organizations that are located in Seattle.
3. `-[:HAS_CATEGORY]->(ic:IndustryCategory)` matches the industry categories associated with these organizations.
4. `RETURN DISTINCT ic.name AS IndustryCategory` returns the unique names of these industry categories.",False,False,True,False
Which countries host organizations that have a revenue over 50 million?,"MATCH (o:Organization)-[:IN_CITY]->(c:City)-[:IN_COUNTRY]->(country:Country)
WHERE o.revenue > 50000000
RETURN DISTINCT country.name AS Country",Simple Aggregation Queries,companies,"This Cypher query retrieves the names of countries that host organizations with a revenue greater than 50 million. Here's how it works:
1. `MATCH (o:Organization)-[:IN_CITY]->(c:City)-[:IN_COUNTRY]->(country:Country)`: This part of the query matches the pattern where an organization is located in a city, and that city is in a country.
2. `WHERE o.revenue > 50000000`: This clause filters the organizations to include only those with a revenue greater than 50 million.
3. `RETURN DISTINCT country.name AS Country`: This returns the distinct names of the countries that meet the criteria.",False,False,True,False
List the organizations that have more than one subsidiary.,"MATCH (parentOrg:Organization)-[:HAS_SUBSIDIARY]->(subOrg:Organization)
WITH parentOrg, COUNT(subOrg) AS numSubsidiaries
WHERE numSubsidiaries > 1
RETURN parentOrg.name AS OrganizationName, numSubsidiaries",Simple Aggregation Queries,companies,"This Cypher query retrieves the organizations that have more than one subsidiary. Here's how it works:
1. The `MATCH` clause finds all `parentOrg` nodes of type `Organization` that have a `HAS_SUBSIDIARY` relationship to `subOrg` nodes of type `Organization`.
2. The `WITH` clause groups the results by `parentOrg` and counts the number of `subOrg` nodes (subsidiaries) for each `parentOrg`.
3. The `WHERE` clause filters the results to include only those `parentOrg` nodes that have more than one subsidiary.
4. The `RETURN` clause outputs the name of the organization (`parentOrg.name`) and the number of subsidiaries (`numSubsidiaries`).",False,False,True,False
Which organizations have a motto containing the word 'technology'?,"MATCH (o:Organization)
WHERE o.motto CONTAINS 'technology'
RETURN o.name, o.motto",Simple Aggregation Queries,companies,"This Cypher query will retrieve the names and mottos of organizations whose motto contains the word 'technology'. The query starts by matching all nodes with the label `Organization`. It then filters these nodes using the `WHERE` clause to check if the `motto` property contains the word 'technology'. Finally, it returns the `name` and `motto` properties of the matching organizations.",False,False,True,False
What is the sentiment of the article that has the highest sentiment score mentioning 'Accenture'?,"MATCH (o:Organization {name: ""Accenture""})<-[:MENTIONS]-(a:Article)
RETURN a.title, a.sentiment
ORDER BY a.sentiment DESC
LIMIT 1",Simple Aggregation Queries,companies,"This Cypher query retrieves the article that mentions ""Accenture"" and has the highest sentiment score. Here's how it works:
1. `MATCH (o:Organization {name: ""Accenture""})<-[:MENTIONS]-(a:Article)`: This part of the query matches the organization node with the name ""Accenture"" and finds all articles that mention this organization.
2. `RETURN a.title, a.sentiment`: This part specifies that we want to return the title and sentiment score of the articles.
3. `ORDER BY a.sentiment DESC`: This orders the articles by their sentiment score in descending order, so the highest sentiment score comes first.
4. `LIMIT 1`: This limits the result to only the top article with the highest sentiment score.",False,False,True,False
List the first 3 organizations that were mentioned in articles published in 2022.,"MATCH (a:Article)-[:MENTIONS]->(o:Organization)
WHERE a.date >= date(""2022-01-01"") AND a.date < date(""2023-01-01"")
RETURN o.name AS organization_name
LIMIT 3",Simple Aggregation Queries,companies,"This Cypher query retrieves the names of the first three organizations that were mentioned in articles published in the year 2022. Here's a step-by-step breakdown of the query:

1. `MATCH (a:Article)-[:MENTIONS]->(o:Organization)`: This part of the query matches articles that mention organizations.
2. `WHERE a.date >= date(""2022-01-01"") AND a.date < date(""2023-01-01"")`: This filter ensures that only articles published in the year 2022 are considered.
3. `RETURN o.name AS organization_name`: This returns the names of the organizations mentioned in the filtered articles.
4. `LIMIT 3`: This limits the result to the first three organizations.

By following these steps, the query effectively answers the user's question.",False,False,False,False
Which organizations are competitors to 'SAP'?,"MATCH (o1:Organization {name: ""SAP""})-[:HAS_COMPETITOR]->(o2:Organization)
RETURN o2.name AS competitorName",Simple Aggregation Queries,companies,"This Cypher query retrieves the names of organizations that are competitors to the organization named ""SAP"". The query starts by matching the node representing ""SAP"" and then traverses the `HAS_COMPETITOR` relationship to find all organizations that are competitors. Finally, it returns the names of these competitor organizations.",False,False,True,False
List the parents of 'David Correa'.,"Based on the given graph schema, there is not enough information to answer this question.",Simple Aggregation Queries,companies,,True,False,False,True
Which cities are these organizations based in that have more than 50 employees but less than 200?,"MATCH (o:Organization)-[:IN_CITY]->(c:City)
WHERE o.nbrEmployees > 50 AND o.nbrEmployees < 200
RETURN DISTINCT c.name AS cityName",Simple Aggregation Queries,companies,"This Cypher query retrieves the names of cities where organizations with more than 50 but less than 200 employees are based. The query starts by matching organizations (`o:Organization`) and their associated cities (`c:City`) through the `[:IN_CITY]` relationship. It then filters the organizations based on the number of employees (`o.nbrEmployees > 50 AND o.nbrEmployees < 200`). Finally, it returns the distinct names of the cities (`c.name AS cityName`).",False,False,True,False
List three persons who are both investors and board members in any organization.,"MATCH (p:Person)-[:HAS_INVESTOR]->(o:Organization), (p)-[:HAS_BOARD_MEMBER]->(o)
RETURN p.name AS personName
LIMIT 3",Simple Aggregation Queries,companies,"This Cypher query retrieves the names of three persons who are both investors and board members in any organization. The query matches `Person` nodes that have both `HAS_INVESTOR` and `HAS_BOARD_MEMBER` relationships with the same `Organization` node. It then returns the names of these persons, limiting the result to three entries.",False,False,False,False
What organizations are mentioned in the article titled 'Funds for Consumer Behavior Specialist Infinite Analytics'?,"MATCH (a:Article {title: 'Funds for Consumer Behavior Specialist Infinite Analytics'})-[:MENTIONS]->(o:Organization)
RETURN o.name",Simple Aggregation Queries,companies,"This Cypher query retrieves the names of organizations mentioned in the article titled 'Funds for Consumer Behavior Specialist Infinite Analytics'. 

1. The `MATCH` clause finds the `Article` node with the specified title.
2. It then traverses the `MENTIONS` relationship to find the connected `Organization` nodes.
3. The `RETURN` clause outputs the names of these organizations.",False,False,True,False
How many organizations are there in the 'United States of America'?,"MATCH (c:Country {name: ""United States of America""})<-[:IN_COUNTRY]-(ci:City)<-[:IN_CITY]-(o:Organization)
RETURN count(o) AS numberOfOrganizations",Simple Aggregation Queries,companies,"This Cypher query retrieves the number of organizations located in the 'United States of America'. Here's how it works:
1. It starts by matching the `Country` node with the name 'United States of America'.
2. It then traverses the `IN_COUNTRY` relationship to find all `City` nodes within that country.
3. From each `City` node, it traverses the `IN_CITY` relationship to find all `Organization` nodes located in those cities.
4. Finally, it counts the number of `Organization` nodes found and returns this count as `numberOfOrganizations`.",False,False,True,False
What are the first 5 cities by the number of organizations located there?,"MATCH (o:Organization)-[:IN_CITY]->(c:City)
WITH c, count(o) as orgCount
ORDER BY orgCount DESC
LIMIT 5
RETURN c.name as cityName, orgCount",Simple Aggregation Queries,companies,"This Cypher query retrieves the first 5 cities by the number of organizations located there. Here's how it works:

1. `MATCH (o:Organization)-[:IN_CITY]->(c:City)`: This part of the query matches all organizations and their corresponding cities.
2. `WITH c, count(o) as orgCount`: This clause groups the results by city and counts the number of organizations in each city, storing the count in `orgCount`.
3. `ORDER BY orgCount DESC`: This orders the cities by the number of organizations in descending order.
4. `LIMIT 5`: This limits the results to the top 5 cities.
5. `RETURN c.name as cityName, orgCount`: This returns the name of the city and the count of organizations in each of the top 5 cities.

The query effectively answers the question by providing the top 5 cities with the highest number of organizations.",False,False,True,False
